State,y2004,y2006,y2008,y2010,y2012,y2014,Average,Total_Reps,State_Full,Mis_Reps
ME,-0.5,-0.5,-0.5,-0.5,-0.5,0.0,-0.416666666667,2,Maine,0.833333333333
RI,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,-0.416666666667,2,Rhode Island,0.833333333333
HI,-0.5,-0.5,0.0,-0.5,-0.5,-0.5,-0.416666666667,2,Hawaii,0.833333333333
CT,0.2,-0.2,-0.4,-0.4,-0.4,-0.4,-0.266666666667,5,Connecticut,1.33333333333
MA,-0.2,-0.1,-0.1,-0.4,-0.222222222222,-0.222222222222,-0.207407407407,10,Massachusetts,2.07407407407
OR,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,-0.2,5,Oregon,1.0
MD,-0.125,-0.125,-0.25,-0.125,-0.25,-0.25,-0.1875,8,Maryland,1.5
NY,-0.0689655172414,-0.103448275862,-0.206896551724,-0.137931034483,-0.111111111111,-0.111111111111,-0.123243933589,29,New York,3.57407407407
NH,0.5,-0.5,-0.5,0.5,-0.5,0.0,-0.0833333333333,2,New Hampshire,0.166666666667
CA,-0.0754716981132,-0.0566037735849,-0.0188679245283,-0.0943396226415,-0.0943396226415,-0.150943396226,-0.0817610062893,53,California,4.33333333333
WA,-0.111111111111,-0.111111111111,0.0,0.0,-0.1,-0.1,-0.0703703703704,9,Washington,0.633333333333
MN,0.0,-0.125,0.0,0.0,0.0,-0.125,-0.0416666666667,8,Minnesota,0.333333333333
NJ,0.0,0.0,-0.0769230769231,-0.0769230769231,0.0833333333333,0.0,-0.0117521367521,13,New Jersey,0.152777777778
IL,0.0,0.0526315789474,0.0,0.105263157895,-0.111111111111,-0.0555555555556,-0.00146198830409,19,Illinois,0.0277777777778
MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Montana,0.0
SD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,South Dakota,0.0
VT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Vermont,0.0
ND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,North Dakota,0.0
AK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Alaska,0.0
MS,-0.25,0.0,-0.25,0.25,0.0,0.25,0.0,4,Mississippi,0.0
WY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Wyoming,0.0
CO,0.142857142857,0.0,-0.142857142857,0.0,0.0,0.0,0.0,7,Colorado,0.0
DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Delaware,0.0
AZ,0.125,0.0,-0.125,0.125,-0.111111111111,0.0,0.00231481481481,8,Arizona,0.0185185185185
